"Reference","Journal_name","Publication_year","Experiment_year","IF","Data_details","Variable_name","Variable_identity","Plant_species","Plant_status","Herbivore_feeding_guild","cor","n","zr","var"
"Anstett et al. 2014","Ecology",2014,2012,5.5,"Data from Figure 2A","Leaf herbivory (%)","Herbivory","Oenothera biennis","Native","Defoliators",0.0113411309505693,84,0.0113416172249147,0.0123456790123457
"Anstett et al. 2014","Ecology",2014,2012,5.5,"Data from Figure 2B","log(1+T.foveolatum stem damage)","Herbivory","Oenothera biennis","Native","Stem feeders",-0.496287949652404,77,-0.544368921800604,0.0135135135135135
"Anstett et al. 2014","Ecology",2014,2012,5.5,"Data from Figure 2C","Buds galled by M. stellella","Herbivory","Oenothera biennis","Native","Gallers",0.488024106677064,66,0.533463437704114,0.0158730158730159
"Anstett et al. 2014","Ecology",2014,2012,5.5,"Data from Figure 2D","log(1+S. florida fruit damage)","Herbivory","Oenothera biennis","Native","Seed feeders",0.425809060165913,55,0.454766352153983,0.0192307692307692
"Anstett et al. 2014","Ecology",2014,2012,5.5,"Data from Figure 3","Specialist herbivore load (mg/plant)","Herbivore abundance","Oenothera biennis","Native","All folivores",0.194948281157353,93,0.197475830849245,0.0111111111111111
"Barrio et al. 2017","Polar Biology",2017,2009,1.9,"Data from Table S2.2","All herbivores average damage_2009","Herbivory","Betula nana","Native","All folivores",0.730138570087305,3,0.929024088945726,1
"Barrio et al. 2017","Polar Biology",2017,2009,1.9,"Data from Table S2.2","All herbivores percentage leaf area_2009","Herbivory","Betula nana","Native","All folivores",0.583360123782313,3,0.667541143008728,1
"Barrio et al. 2017","Polar Biology",2017,2009,1.9,"Data from Table S2.2","All herbivores percentage leaves_2009","Herbivory","Betula nana","Native","All folivores",0.8384856792599,3,1.21605184965263,1
"Barrio et al. 2017","Polar Biology",2017,2009,1.9,"Data from Table S2.2","Defoliators average damage_2009","Herbivory","Betula nana","Native","Defoliators",0.730138570087305,3,0.929024088945726,1
"Barrio et al. 2017","Polar Biology",2017,2009,1.9,"Data from Table S2.2","Defoliators percentage leaf area_2009","Herbivory","Betula nana","Native","Defoliators",0.583360123782313,3,0.667541143008728,1
"Barrio et al. 2017","Polar Biology",2017,2009,1.9,"Data from Table S2.2","Defoliators percentage leaves_2009","Herbivory","Betula nana","Native","Defoliators",0.8384856792599,3,1.21605184965263,1
"Barrio et al. 2017","Polar Biology",2017,2013,1.9,"Data from Table S2.2","All herbivores average damage_2013","Herbivory","Betula nana","Native","All folivores",-0.981842280155977,3,-2.34634316478826,1
"Barrio et al. 2017","Polar Biology",2017,2013,1.9,"Data from Table S2.2","All herbivores percentage leaf area_2013","Herbivory","Betula nana","Native","All folivores",-0.624238130528403,3,-0.731919262595011,1
"Barrio et al. 2017","Polar Biology",2017,2013,1.9,"Data from Table S2.2","All herbivores percentage leaves_2013","Herbivory","Betula nana","Native","All folivores",-0.336156255875371,3,-0.349752754289231,1
